id,iteration,target_feature,pseudo_feature,actual_feature,distance,selection_method,P_hit,U_i,group_key,mode,is_valid,target_label
job_201_Cr_fe_-1.216_n4_generated_crystals_cif__gen_1,6,-2.1,-2.1846630573272705,-2.21074652671814,-0.0846630573272704,gated_ta_dpp,0.3452928586981424,0.022045507543995,LiCr2O4,dpp_diverse,0,0
job_148_Mn_fe_-0.904_n4_generated_crystals_cif__gen_3,6,-2.1,-1.967838287353516,-2.0083227157592773,0.132161712646484,gated_ta_dpp,0.293402607627629,0.0131282188162587,LiMn2O4,dpp_diverse,0,0
job_092_Cr_fe_-1.075_n4_generated_crystals_cif__gen_1,6,-2.1,-2.058346509933472,-2.1052308082580566,0.0416534900665279,gated_ta_dpp,0.3233560276256495,0.0308026578409237,LiCr2O4,dpp_diverse,1,1
job_167_Mn_fe_-0.885_n4_generated_crystals_cif__gen_3,6,-2.1,-1.9817206859588623,-2.023138999938965,0.1182793140411377,gated_ta_dpp,0.2844606253804361,0.0276958789764497,LiMn2O4,dpp_diverse,1,1
job_130_Cr_fe_-1.335_n4_generated_crystals_cif__gen_3,6,-2.1,-2.2167181968688965,-2.2419798374176025,-0.1167181968688964,gated_ta_dpp,0.3130470558876347,0.0194884494138933,LiCr2O4,dpp_diverse,0,0
job_130_Cr_fe_-1.335_n4_generated_crystals_cif__gen_0,6,-2.1,-2.1777946949005127,-2.2054734230041504,-0.0777946949005126,gated_ta_dpp,0.3106171470766463,0.0296896645167865,LiCr2O4,dpp_diverse,0,0
job_208_Cr_fe_-1.031_n4_generated_crystals_cif__gen_3,6,-2.1,-2.1537866592407227,-2.177259683609009,-0.0537866592407225,gated_ta_dpp,0.3087554653097642,0.0325777148996726,LiCr2O4,dpp_diverse,1,1
job_105_Mn_fe_-0.898_n4_generated_crystals_cif__gen_2,6,-2.1,-1.9856693744659424,-2.011301040649414,0.1143306255340577,gated_ta_dpp,0.2732361931605938,0.0321129797608016,LiMn2O4,dpp_diverse,0,0
job_171_Cr_fe_-1.042_n4_generated_crystals_cif__gen_2,6,-2.1,-2.215317249298096,-2.175285577774048,-0.115317249298096,gated_ta_dpp,0.3081018953069028,0.0216780892580883,LiCr2O4,dpp_diverse,1,1
job_012_Cr_fe_-1.495_n4_generated_crystals_cif__gen_0,6,-2.1,-2.222242593765259,-2.18317985534668,-0.1222425937652587,gated_ta_dpp,0.3073785879007445,0.0182077175917726,LiCr2O4,dpp_diverse,0,0
job_088_Cr_fe_-1.127_n4_generated_crystals_cif__gen_1,6,-2.1,-2.178417205810547,-2.198474645614624,-0.0784172058105467,gated_ta_dpp,0.2979113534131927,0.0322452440536252,LiCr2O4,dpp_diverse,0,0
job_134_Mn_fe_-0.810_n4_generated_crystals_cif__gen_2,6,-2.1,-1.945258855819702,-2.003902673721313,0.1547411441802981,gated_ta_dpp,0.2486824417712342,0.0167953559687327,LiMn2O4,dpp_diverse,0,0
job_069_Mn_fe_-1.295_n4_generated_crystals_cif__gen_0,6,-2.1,-1.9419208765029907,-1.9121254682540887,0.1580791234970093,gated_ta_dpp,0.245083880290426,0.0216402301119224,LiMn2O4,dpp_diverse,0,0
job_200_Cr_fe_-1.108_n4_generated_crystals_cif__gen_0,7,-2.1,-2.1465213298797607,-2.14246129989624,-0.0465213298797606,gated_ta_dpp,0.461491609720747,0.0182311276235543,LiCr2O4,dpp_diverse,1,1
job_142_Mn_fe_-1.095_n4_generated_crystals_cif__gen_0,7,-2.1,-2.0301640033721924,-2.003554582595825,0.0698359966278077,gated_ta_dpp,0.3972638900243634,0.0218007710841535,LiMn2O4,dpp_diverse,0,0
job_146_Cr_fe_-1.128_n4_generated_crystals_cif__gen_3,7,-2.1,-2.16834020614624,-2.2156307697296143,-0.0683402061462397,gated_ta_dpp,0.4203266924226198,0.019203705527279,LiCr2O4,dpp_diverse,0,0
job_146_Cr_fe_-1.128_n4_generated_crystals_cif__gen_0,7,-2.1,-2.1771557331085205,-2.2501983642578125,-0.0771557331085204,gated_ta_dpp,0.4117383277095818,0.0183502602645965,LiCr2O4,dpp_diverse,0,0
job_249_Cr_fe_-1.500_n4_generated_crystals_cif__gen_2,7,-2.1,-2.117692708969116,-2.159709215164185,-0.0176927089691161,gated_ta_dpp,0.3906439181653176,0.0272412922554602,LiCr2O4,dpp_diverse,1,1
job_012_Cr_fe_-1.495_n4_generated_crystals_cif__gen_3,7,-2.1,-2.167685985565185,-2.222175359725952,-0.067685985565185,gated_ta_dpp,0.3637013802450875,0.0267489182232085,LiCr2O4,dpp_diverse,0,0
job_006_Mn_fe_-1.347_n4_generated_crystals_cif__gen_3,7,-2.1,-1.9982144832611084,-2.018496513366699,0.1017855167388916,gated_ta_dpp,0.2963582136117438,0.0334037546265369,LiMn2O4,dpp_diverse,0,0
job_013_Cr_fe_-1.388_n4_generated_crystals_cif__gen_3,7,-2.1,-2.1662166118621826,-2.212435007095337,-0.0662166118621825,gated_ta_dpp,0.3573535904030913,0.0278827924841118,LiCr2O4,dpp_diverse,0,0
job_074_Mn_fe_-0.891_n4_generated_crystals_cif__gen_3,7,-2.1,-2.0218214988708496,-2.013846635818481,0.0781785011291504,gated_ta_dpp,0.2898460850924149,0.0386324727842057,LiMn2O4,dpp_diverse,0,0
job_016_Cr_fe_-1.264_n4_generated_crystals_cif__gen_2,7,-2.1,-2.193483352661133,-2.22020959854126,-0.0934833526611327,gated_ta_dpp,0.3342395170887872,0.0270164255199502,LiCr2O4,dpp_diverse,0,0
job_149_Mn_fe_-1.083_n4_generated_crystals_cif__gen_0,7,-2.1,-1.9651386737823489,-2.0294673442840576,0.1348613262176512,gated_ta_dpp,0.2875105376977613,0.0199923987920971,LiMn2O4,dpp_diverse,1,1
job_068_Cr_fe_-1.051_n4_generated_crystals_cif__gen_3,7,-2.1,-2.163126945495605,-2.208514213562012,-0.0631269454956049,gated_ta_dpp,0.318265657718051,0.0346232187769807,LiCr2O4,dpp_diverse,0,0
job_136_Cr_fe_-1.181_n4_generated_crystals_cif__gen_1,7,-2.1,-2.1818630695343018,-2.2130284309387207,-0.0818630695343016,gated_ta_dpp,0.3134076318910724,0.0332382925258653,LiCr2O4,dpp_diverse,0,0
job_058_Cr_fe_-1.423_n4_generated_crystals_cif__gen_1,7,-2.1,-2.187864065170288,-2.209511995315552,-0.087864065170288,gated_ta_dpp,0.3015477497502128,0.0347630298022041,LiCr2O4,dpp_diverse,0,0
job_086_Mn_fe_-0.988_n4_generated_crystals_cif__gen_1,7,-2.1,-1.9565653800964355,-2.012666940689087,0.1434346199035645,gated_ta_dpp,0.2631744195866814,0.0161510245525711,LiMn2O4,dpp_diverse,0,0
job_126_Cr_fe_-0.901_n4_generated_crystals_cif__gen_0,7,-2.1,-2.194038152694702,-2.23909068107605,-0.094038152694702,gated_ta_dpp,0.2971466969553515,0.0347097920832908,LiCr2O4,dpp_diverse,0,0
job_208_Cr_fe_-1.031_n4_generated_crystals_cif__gen_0,8,-2.1,-2.200061798095703,-2.205277681350708,-0.100061798095703,gated_ta_dpp,0.3274827147623435,0.0283212279144271,LiCr2O4,dpp_diverse,0,0
