method,seed,query,cumulative_targets
Energy-Gated DA-TPP,8,16,8
Energy-Gated DA-TPP,8,32,15
Energy-Gated DA-TPP,8,48,17
Energy-Gated DA-TPP,8,64,19
Energy-Gated DA-TPP,8,80,26
Energy-Gated DA-TPP,8,96,30
Energy-Gated DA-TPP,8,112,36
Energy-Gated DA-TPP,8,128,40
Energy-Gated DA-TPP,8,144,46
Energy-Gated DA-TPP,8,160,50
Energy-Gated DA-TPP,8,176,56
Energy-Gated DA-TPP,8,192,62
Energy-Gated DA-TPP,8,208,69
Energy-Gated DA-TPP,8,224,73
Energy-Gated DA-TPP,8,240,81
Energy-Gated DA-TPP,8,256,88
Energy-Gated DA-TPP,8,272,91
Energy-Gated DA-TPP,8,288,96
Energy-Gated DA-TPP,8,304,97
Energy-Gated DA-TPP,8,320,102
Energy-Gated DA-TPP,9,16,8
Energy-Gated DA-TPP,9,32,15
Energy-Gated DA-TPP,9,48,17
Energy-Gated DA-TPP,9,64,19
Energy-Gated DA-TPP,9,80,26
Energy-Gated DA-TPP,9,96,30
Energy-Gated DA-TPP,9,112,36
Energy-Gated DA-TPP,9,128,40
Energy-Gated DA-TPP,9,144,46
Energy-Gated DA-TPP,9,160,50
Energy-Gated DA-TPP,9,176,56
Energy-Gated DA-TPP,9,192,62
Energy-Gated DA-TPP,9,208,69
Energy-Gated DA-TPP,9,224,73
Energy-Gated DA-TPP,9,240,81
Energy-Gated DA-TPP,9,256,88
Energy-Gated DA-TPP,9,272,91
Energy-Gated DA-TPP,9,288,97
Energy-Gated DA-TPP,9,304,97
Energy-Gated DA-TPP,9,320,101
Energy-Gated DA-TPP,10,16,8
Energy-Gated DA-TPP,10,32,15
Energy-Gated DA-TPP,10,48,17
Energy-Gated DA-TPP,10,64,19
Energy-Gated DA-TPP,10,80,26
Energy-Gated DA-TPP,10,96,30
Energy-Gated DA-TPP,10,112,36
Energy-Gated DA-TPP,10,128,40
Energy-Gated DA-TPP,10,144,46
Energy-Gated DA-TPP,10,160,50
Energy-Gated DA-TPP,10,176,56
Energy-Gated DA-TPP,10,192,62
Energy-Gated DA-TPP,10,208,69
Energy-Gated DA-TPP,10,224,73
Energy-Gated DA-TPP,10,240,81
Energy-Gated DA-TPP,10,256,88
Energy-Gated DA-TPP,10,272,91
Energy-Gated DA-TPP,10,288,95
Energy-Gated DA-TPP,10,304,98
Energy-Gated DA-TPP,10,320,102
Energy-Gated DA-TPP,11,16,8
Energy-Gated DA-TPP,11,32,15
Energy-Gated DA-TPP,11,48,17
Energy-Gated DA-TPP,11,64,19
Energy-Gated DA-TPP,11,80,26
